字目	读音	注释	声母	韵母	声调	(声母)	(声母序)	(韵母序)	(调序)	最后一个同音字?1为是	同音字汇(连字音beta!)	声韵组合	最后一个同音异调?1为是	同音字汇(同音异调!)	同音字汇连声韵
脾	=D36&E36&F36	文，～气	pʰ	i	44	=IF(D36=0,"〇",D36)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B36=B37,0,1)	=IF(B36=B35,L35&IF(C36=0,A36,A36&"{"&C36&"}"),IF(C36=0,A36,A36&"{"&C36&"}"))	=D36&E36	=IF(M36=M37,0,1)	=IF(N35=0,IF(K35=0,IF(B36=B35,O35&IF(C36=0,A36,A36&"{"&C36&"}"),"["&J36&"]"&IF(C36=0,A36,A36&"{"&C36&"}")),O35&"["&J36&"]"&IF(C36=0,A36,A36&"{"&C36&"}")),"["&J36&"]"&IF(C36=0,A36,A36&"{"&C36&"}"))	=M36&O36
疲	=D37&E37&F37		pʰ	i	44	=IF(D37=0,"〇",D37)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B37=B38,0,1)	=IF(B37=B36,L36&IF(C37=0,A37,A37&"{"&C37&"}"),IF(C37=0,A37,A37&"{"&C37&"}"))	=D37&E37	=IF(M37=M38,0,1)	=IF(N36=0,IF(K36=0,IF(B37=B36,O36&IF(C37=0,A37,A37&"{"&C37&"}"),"["&J37&"]"&IF(C37=0,A37,A37&"{"&C37&"}")),O36&"["&J37&"]"&IF(C37=0,A37,A37&"{"&C37&"}")),"["&J37&"]"&IF(C37=0,A37,A37&"{"&C37&"}"))	=M37&O37
鄙	=D38&E38&F38		pʰ	i	53	=IF(D38=0,"〇",D38)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B38=B39,0,1)	=IF(B38=B37,L37&IF(C38=0,A38,A38&"{"&C38&"}"),IF(C38=0,A38,A38&"{"&C38&"}"))	=D38&E38	=IF(M38=M39,0,1)	=IF(N37=0,IF(K37=0,IF(B38=B37,O37&IF(C38=0,A38,A38&"{"&C38&"}"),"["&J38&"]"&IF(C38=0,A38,A38&"{"&C38&"}")),O37&"["&J38&"]"&IF(C38=0,A38,A38&"{"&C38&"}")),"["&J38&"]"&IF(C38=0,A38,A38&"{"&C38&"}"))	=M38&O38
痞	=D39&E39&F39		pʰ	i	53	=IF(D39=0,"〇",D39)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B39=B40,0,1)	=IF(B39=B38,L38&IF(C39=0,A39,A39&"{"&C39&"}"),IF(C39=0,A39,A39&"{"&C39&"}"))	=D39&E39	=IF(M39=M40,0,1)	=IF(N38=0,IF(K38=0,IF(B39=B38,O38&IF(C39=0,A39,A39&"{"&C39&"}"),"["&J39&"]"&IF(C39=0,A39,A39&"{"&C39&"}")),O38&"["&J39&"]"&IF(C39=0,A39,A39&"{"&C39&"}")),"["&J39&"]"&IF(C39=0,A39,A39&"{"&C39&"}"))	=M39&O39
微	=D40&E40&F40		b	i	44	=IF(D40=0,"〇",D40)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B40=B41,0,1)	=IF(B40=B39,L39&IF(C40=0,A40,A40&"{"&C40&"}"),IF(C40=0,A40,A40&"{"&C40&"}"))	=D40&E40	=IF(M40=M41,0,1)	=IF(N39=0,IF(K39=0,IF(B40=B39,O39&IF(C40=0,A40,A40&"{"&C40&"}"),"["&J40&"]"&IF(C40=0,A40,A40&"{"&C40&"}")),O39&"["&J40&"]"&IF(C40=0,A40,A40&"{"&C40&"}")),"["&J40&"]"&IF(C40=0,A40,A40&"{"&C40&"}"))	=M40&O40
米	=D41&E41&F41		b	i	53	=IF(D41=0,"〇",D41)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B41=B42,0,1)	=IF(B41=B40,L40&IF(C41=0,A41,A41&"{"&C41&"}"),IF(C41=0,A41,A41&"{"&C41&"}"))	=D41&E41	=IF(M41=M42,0,1)	=IF(N40=0,IF(K40=0,IF(B41=B40,O40&IF(C41=0,A41,A41&"{"&C41&"}"),"["&J41&"]"&IF(C41=0,A41,A41&"{"&C41&"}")),O40&"["&J41&"]"&IF(C41=0,A41,A41&"{"&C41&"}")),"["&J41&"]"&IF(C41=0,A41,A41&"{"&C41&"}"))	=M41&O41
未	=D42&E42&F42		b	i	311	=IF(D42=0,"〇",D42)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B42=B43,0,1)	=IF(B42=B41,L41&IF(C42=0,A42,A42&"{"&C42&"}"),IF(C42=0,A42,A42&"{"&C42&"}"))	=D42&E42	=IF(M42=M43,0,1)	=IF(N41=0,IF(K41=0,IF(B42=B41,O41&IF(C42=0,A42,A42&"{"&C42&"}"),"["&J42&"]"&IF(C42=0,A42,A42&"{"&C42&"}")),O41&"["&J42&"]"&IF(C42=0,A42,A42&"{"&C42&"}")),"["&J42&"]"&IF(C42=0,A42,A42&"{"&C42&"}"))	=M42&O42
味	=D43&E43&F43		b	i	311	=IF(D43=0,"〇",D43)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B43=B44,0,1)	=IF(B43=B42,L42&IF(C43=0,A43,A43&"{"&C43&"}"),IF(C43=0,A43,A43&"{"&C43&"}"))	=D43&E43	=IF(M43=M44,0,1)	=IF(N42=0,IF(K42=0,IF(B43=B42,O42&IF(C43=0,A43,A43&"{"&C43&"}"),"["&J43&"]"&IF(C43=0,A43,A43&"{"&C43&"}")),O42&"["&J43&"]"&IF(C43=0,A43,A43&"{"&C43&"}")),"["&J43&"]"&IF(C43=0,A43,A43&"{"&C43&"}"))	=M43&O43
咪	=D44&E44&F44		m	i	22	=IF(D44=0,"〇",D44)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B44=B45,0,1)	=IF(B44=B43,L43&IF(C44=0,A44,A44&"{"&C44&"}"),IF(C44=0,A44,A44&"{"&C44&"}"))	=D44&E44	=IF(M44=M45,0,1)	=IF(N43=0,IF(K43=0,IF(B44=B43,O43&IF(C44=0,A44,A44&"{"&C44&"}"),"["&J44&"]"&IF(C44=0,A44,A44&"{"&C44&"}")),O43&"["&J44&"]"&IF(C44=0,A44,A44&"{"&C44&"}")),"["&J44&"]"&IF(C44=0,A44,A44&"{"&C44&"}"))	=M44&O44
迷	=D45&E45&F45		m	i	44	=IF(D45=0,"〇",D45)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B45=B46,0,1)	=IF(B45=B44,L44&IF(C45=0,A45,A45&"{"&C45&"}"),IF(C45=0,A45,A45&"{"&C45&"}"))	=D45&E45	=IF(M45=M46,0,1)	=IF(N44=0,IF(K44=0,IF(B45=B44,O44&IF(C45=0,A45,A45&"{"&C45&"}"),"["&J45&"]"&IF(C45=0,A45,A45&"{"&C45&"}")),O44&"["&J45&"]"&IF(C45=0,A45,A45&"{"&C45&"}")),"["&J45&"]"&IF(C45=0,A45,A45&"{"&C45&"}"))	=M45&O45
糜	=D46&E46&F46		m	i	44	=IF(D46=0,"〇",D46)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B46=B47,0,1)	=IF(B46=B45,L45&IF(C46=0,A46,A46&"{"&C46&"}"),IF(C46=0,A46,A46&"{"&C46&"}"))	=D46&E46	=IF(M46=M47,0,1)	=IF(N45=0,IF(K45=0,IF(B46=B45,O45&IF(C46=0,A46,A46&"{"&C46&"}"),"["&J46&"]"&IF(C46=0,A46,A46&"{"&C46&"}")),O45&"["&J46&"]"&IF(C46=0,A46,A46&"{"&C46&"}")),"["&J46&"]"&IF(C46=0,A46,A46&"{"&C46&"}"))	=M46&O46
棉	=D47&E47&F47		m	i	44	=IF(D47=0,"〇",D47)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B47=B48,0,1)	=IF(B47=B46,L46&IF(C47=0,A47,A47&"{"&C47&"}"),IF(C47=0,A47,A47&"{"&C47&"}"))	=D47&E47	=IF(M47=M48,0,1)	=IF(N46=0,IF(K46=0,IF(B47=B46,O46&IF(C47=0,A47,A47&"{"&C47&"}"),"["&J47&"]"&IF(C47=0,A47,A47&"{"&C47&"}")),O46&"["&J47&"]"&IF(C47=0,A47,A47&"{"&C47&"}")),"["&J47&"]"&IF(C47=0,A47,A47&"{"&C47&"}"))	=M47&O47
靡	=D48&E48&F48		m	i	53	=IF(D48=0,"〇",D48)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B48=B49,0,1)	=IF(B48=B47,L47&IF(C48=0,A48,A48&"{"&C48&"}"),IF(C48=0,A48,A48&"{"&C48&"}"))	=D48&E48	=IF(M48=M49,0,1)	=IF(N47=0,IF(K47=0,IF(B48=B47,O47&IF(C48=0,A48,A48&"{"&C48&"}"),"["&J48&"]"&IF(C48=0,A48,A48&"{"&C48&"}")),O47&"["&J48&"]"&IF(C48=0,A48,A48&"{"&C48&"}")),"["&J48&"]"&IF(C48=0,A48,A48&"{"&C48&"}"))	=M48&O48
謎	=D49&E49&F49		m	i	13	=IF(D49=0,"〇",D49)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B49=B50,0,1)	=IF(B49=B48,L48&IF(C49=0,A49,A49&"{"&C49&"}"),IF(C49=0,A49,A49&"{"&C49&"}"))	=D49&E49	=IF(M49=M50,0,1)	=IF(N48=0,IF(K48=0,IF(B49=B48,O48&IF(C49=0,A49,A49&"{"&C49&"}"),"["&J49&"]"&IF(C49=0,A49,A49&"{"&C49&"}")),O48&"["&J49&"]"&IF(C49=0,A49,A49&"{"&C49&"}")),"["&J49&"]"&IF(C49=0,A49,A49&"{"&C49&"}"))	=M49&O49
麵	=D50&E50&F50		m	i	311	=IF(D50=0,"〇",D50)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B50=B51,0,1)	=IF(B50=B49,L49&IF(C50=0,A50,A50&"{"&C50&"}"),IF(C50=0,A50,A50&"{"&C50&"}"))	=D50&E50	=IF(M50=M51,0,1)	=IF(N49=0,IF(K49=0,IF(B50=B49,O49&IF(C50=0,A50,A50&"{"&C50&"}"),"["&J50&"]"&IF(C50=0,A50,A50&"{"&C50&"}")),O49&"["&J50&"]"&IF(C50=0,A50,A50&"{"&C50&"}")),"["&J50&"]"&IF(C50=0,A50,A50&"{"&C50&"}"))	=M50&O50
麪	=D51&E51&F51	～条	m	i	311	=IF(D51=0,"〇",D51)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B51=B52,0,1)	=IF(B51=B50,L50&IF(C51=0,A51,A51&"{"&C51&"}"),IF(C51=0,A51,A51&"{"&C51&"}"))	=D51&E51	=IF(M51=M52,0,1)	=IF(N50=0,IF(K50=0,IF(B51=B50,O50&IF(C51=0,A51,A51&"{"&C51&"}"),"["&J51&"]"&IF(C51=0,A51,A51&"{"&C51&"}")),O50&"["&J51&"]"&IF(C51=0,A51,A51&"{"&C51&"}")),"["&J51&"]"&IF(C51=0,A51,A51&"{"&C51&"}"))	=M51&O51
低	=D52&E52&F52		t	i	22	=IF(D52=0,"〇",D52)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B52=B53,0,1)	=IF(B52=B51,L51&IF(C52=0,A52,A52&"{"&C52&"}"),IF(C52=0,A52,A52&"{"&C52&"}"))	=D52&E52	=IF(M52=M53,0,1)	=IF(N51=0,IF(K51=0,IF(B52=B51,O51&IF(C52=0,A52,A52&"{"&C52&"}"),"["&J52&"]"&IF(C52=0,A52,A52&"{"&C52&"}")),O51&"["&J52&"]"&IF(C52=0,A52,A52&"{"&C52&"}")),"["&J52&"]"&IF(C52=0,A52,A52&"{"&C52&"}"))	=M52&O52
猪	=D53&E53&F53	白：～胆，形容物品极苦	t	i	22	=IF(D53=0,"〇",D53)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B53=B54,0,1)	=IF(B53=B52,L52&IF(C53=0,A53,A53&"{"&C53&"}"),IF(C53=0,A53,A53&"{"&C53&"}"))	=D53&E53	=IF(M53=M54,0,1)	=IF(N52=0,IF(K52=0,IF(B53=B52,O52&IF(C53=0,A53,A53&"{"&C53&"}"),"["&J53&"]"&IF(C53=0,A53,A53&"{"&C53&"}")),O52&"["&J53&"]"&IF(C53=0,A53,A53&"{"&C53&"}")),"["&J53&"]"&IF(C53=0,A53,A53&"{"&C53&"}"))	=M53&O53
知	=D54&E54&F54		t	i	22	=IF(D54=0,"〇",D54)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B54=B55,0,1)	=IF(B54=B53,L53&IF(C54=0,A54,A54&"{"&C54&"}"),IF(C54=0,A54,A54&"{"&C54&"}"))	=D54&E54	=IF(M54=M55,0,1)	=IF(N53=0,IF(K53=0,IF(B54=B53,O53&IF(C54=0,A54,A54&"{"&C54&"}"),"["&J54&"]"&IF(C54=0,A54,A54&"{"&C54&"}")),O53&"["&J54&"]"&IF(C54=0,A54,A54&"{"&C54&"}")),"["&J54&"]"&IF(C54=0,A54,A54&"{"&C54&"}"))	=M54&O54
蜘	=D55&E55&F55		t	i	22	=IF(D55=0,"〇",D55)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B55=B56,0,1)	=IF(B55=B54,L54&IF(C55=0,A55,A55&"{"&C55&"}"),IF(C55=0,A55,A55&"{"&C55&"}"))	=D55&E55	=IF(M55=M56,0,1)	=IF(N54=0,IF(K54=0,IF(B55=B54,O54&IF(C55=0,A55,A55&"{"&C55&"}"),"["&J55&"]"&IF(C55=0,A55,A55&"{"&C55&"}")),O54&"["&J55&"]"&IF(C55=0,A55,A55&"{"&C55&"}")),"["&J55&"]"&IF(C55=0,A55,A55&"{"&C55&"}"))	=M55&O55
弟	=D56&E56&F56		t	i	44	=IF(D56=0,"〇",D56)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B56=B57,0,1)	=IF(B56=B55,L55&IF(C56=0,A56,A56&"{"&C56&"}"),IF(C56=0,A56,A56&"{"&C56&"}"))	=D56&E56	=IF(M56=M57,0,1)	=IF(N55=0,IF(K55=0,IF(B56=B55,O55&IF(C56=0,A56,A56&"{"&C56&"}"),"["&J56&"]"&IF(C56=0,A56,A56&"{"&C56&"}")),O55&"["&J56&"]"&IF(C56=0,A56,A56&"{"&C56&"}")),"["&J56&"]"&IF(C56=0,A56,A56&"{"&C56&"}"))	=M56&O56
池	=D57&E57&F57		t	i	44	=IF(D57=0,"〇",D57)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B57=B58,0,1)	=IF(B57=B56,L56&IF(C57=0,A57,A57&"{"&C57&"}"),IF(C57=0,A57,A57&"{"&C57&"}"))	=D57&E57	=IF(M57=M58,0,1)	=IF(N56=0,IF(K56=0,IF(B57=B56,O56&IF(C57=0,A57,A57&"{"&C57&"}"),"["&J57&"]"&IF(C57=0,A57,A57&"{"&C57&"}")),O56&"["&J57&"]"&IF(C57=0,A57,A57&"{"&C57&"}")),"["&J57&"]"&IF(C57=0,A57,A57&"{"&C57&"}"))	=M57&O57
遞	=D58&E58&F58		t	i	44	=IF(D58=0,"〇",D58)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B58=B59,0,1)	=IF(B58=B57,L57&IF(C58=0,A58,A58&"{"&C58&"}"),IF(C58=0,A58,A58&"{"&C58&"}"))	=D58&E58	=IF(M58=M59,0,1)	=IF(N57=0,IF(K57=0,IF(B58=B57,O57&IF(C58=0,A58,A58&"{"&C58&"}"),"["&J58&"]"&IF(C58=0,A58,A58&"{"&C58&"}")),O57&"["&J58&"]"&IF(C58=0,A58,A58&"{"&C58&"}")),"["&J58&"]"&IF(C58=0,A58,A58&"{"&C58&"}"))	=M58&O58
底	=D59&E59&F59		t	i	53	=IF(D59=0,"〇",D59)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B59=B60,0,1)	=IF(B59=B58,L58&IF(C59=0,A59,A59&"{"&C59&"}"),IF(C59=0,A59,A59&"{"&C59&"}"))	=D59&E59	=IF(M59=M60,0,1)	=IF(N58=0,IF(K58=0,IF(B59=B58,O58&IF(C59=0,A59,A59&"{"&C59&"}"),"["&J59&"]"&IF(C59=0,A59,A59&"{"&C59&"}")),O58&"["&J59&"]"&IF(C59=0,A59,A59&"{"&C59&"}")),"["&J59&"]"&IF(C59=0,A59,A59&"{"&C59&"}"))	=M59&O59
抵	=D60&E60&F60		t	i	53	=IF(D60=0,"〇",D60)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B60=B61,0,1)	=IF(B60=B59,L59&IF(C60=0,A60,A60&"{"&C60&"}"),IF(C60=0,A60,A60&"{"&C60&"}"))	=D60&E60	=IF(M60=M61,0,1)	=IF(N59=0,IF(K59=0,IF(B60=B59,O59&IF(C60=0,A60,A60&"{"&C60&"}"),"["&J60&"]"&IF(C60=0,A60,A60&"{"&C60&"}")),O59&"["&J60&"]"&IF(C60=0,A60,A60&"{"&C60&"}")),"["&J60&"]"&IF(C60=0,A60,A60&"{"&C60&"}"))	=M60&O60
徵	=D61&E61&F61	～羽	t	i	53	=IF(D61=0,"〇",D61)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B61=B62,0,1)	=IF(B61=B60,L60&IF(C61=0,A61,A61&"{"&C61&"}"),IF(C61=0,A61,A61&"{"&C61&"}"))	=D61&E61	=IF(M61=M62,0,1)	=IF(N60=0,IF(K60=0,IF(B61=B60,O60&IF(C61=0,A61,A61&"{"&C61&"}"),"["&J61&"]"&IF(C61=0,A61,A61&"{"&C61&"}")),O60&"["&J61&"]"&IF(C61=0,A61,A61&"{"&C61&"}")),"["&J61&"]"&IF(C61=0,A61,A61&"{"&C61&"}"))	=M61&O61
詆	=D62&E62&F62		t	i	53	=IF(D62=0,"〇",D62)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B62=B63,0,1)	=IF(B62=B61,L61&IF(C62=0,A62,A62&"{"&C62&"}"),IF(C62=0,A62,A62&"{"&C62&"}"))	=D62&E62	=IF(M62=M63,0,1)	=IF(N61=0,IF(K61=0,IF(B62=B61,O61&IF(C62=0,A62,A62&"{"&C62&"}"),"["&J62&"]"&IF(C62=0,A62,A62&"{"&C62&"}")),O61&"["&J62&"]"&IF(C62=0,A62,A62&"{"&C62&"}")),"["&J62&"]"&IF(C62=0,A62,A62&"{"&C62&"}"))	=M62&O62
弟	=D63&E63&F63		t	i	13	=IF(D63=0,"〇",D63)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B63=B64,0,1)	=IF(B63=B62,L62&IF(C63=0,A63,A63&"{"&C63&"}"),IF(C63=0,A63,A63&"{"&C63&"}"))	=D63&E63	=IF(M63=M64,0,1)	=IF(N62=0,IF(K62=0,IF(B63=B62,O62&IF(C63=0,A63,A63&"{"&C63&"}"),"["&J63&"]"&IF(C63=0,A63,A63&"{"&C63&"}")),O62&"["&J63&"]"&IF(C63=0,A63,A63&"{"&C63&"}")),"["&J63&"]"&IF(C63=0,A63,A63&"{"&C63&"}"))	=M63&O63
遞	=D64&E64&F64		t	i	13	=IF(D64=0,"〇",D64)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B64=B65,0,1)	=IF(B64=B63,L63&IF(C64=0,A64,A64&"{"&C64&"}"),IF(C64=0,A64,A64&"{"&C64&"}"))	=D64&E64	=IF(M64=M65,0,1)	=IF(N63=0,IF(K63=0,IF(B64=B63,O63&IF(C64=0,A64,A64&"{"&C64&"}"),"["&J64&"]"&IF(C64=0,A64,A64&"{"&C64&"}")),O63&"["&J64&"]"&IF(C64=0,A64,A64&"{"&C64&"}")),"["&J64&"]"&IF(C64=0,A64,A64&"{"&C64&"}"))	=M64&O64
隸	=D65&E65&F65		t	i	13	=IF(D65=0,"〇",D65)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B65=B66,0,1)	=IF(B65=B64,L64&IF(C65=0,A65,A65&"{"&C65&"}"),IF(C65=0,A65,A65&"{"&C65&"}"))	=D65&E65	=IF(M65=M66,0,1)	=IF(N64=0,IF(K64=0,IF(B65=B64,O64&IF(C65=0,A65,A65&"{"&C65&"}"),"["&J65&"]"&IF(C65=0,A65,A65&"{"&C65&"}")),O64&"["&J65&"]"&IF(C65=0,A65,A65&"{"&C65&"}")),"["&J65&"]"&IF(C65=0,A65,A65&"{"&C65&"}"))	=M65&O65
娣	=D66&E66&F66		t	i	13	=IF(D66=0,"〇",D66)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B66=B67,0,1)	=IF(B66=B65,L65&IF(C66=0,A66,A66&"{"&C66&"}"),IF(C66=0,A66,A66&"{"&C66&"}"))	=D66&E66	=IF(M66=M67,0,1)	=IF(N65=0,IF(K65=0,IF(B66=B65,O65&IF(C66=0,A66,A66&"{"&C66&"}"),"["&J66&"]"&IF(C66=0,A66,A66&"{"&C66&"}")),O65&"["&J66&"]"&IF(C66=0,A66,A66&"{"&C66&"}")),"["&J66&"]"&IF(C66=0,A66,A66&"{"&C66&"}"))	=M66&O66
戴	=D67&E67&F67	白，戴帽子的动词。注意：戴，专指把东西放在头上，戴手套、戴口罩、戴表等都不用此音	t	i	21	=IF(D67=0,"〇",D67)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B67=B68,0,1)	=IF(B67=B66,L66&IF(C67=0,A67,A67&"{"&C67&"}"),IF(C67=0,A67,A67&"{"&C67&"}"))	=D67&E67	=IF(M67=M68,0,1)	=IF(N66=0,IF(K66=0,IF(B67=B66,O66&IF(C67=0,A67,A67&"{"&C67&"}"),"["&J67&"]"&IF(C67=0,A67,A67&"{"&C67&"}")),O66&"["&J67&"]"&IF(C67=0,A67,A67&"{"&C67&"}")),"["&J67&"]"&IF(C67=0,A67,A67&"{"&C67&"}"))	=M67&O67
帝	=D68&E68&F68		t	i	21	=IF(D68=0,"〇",D68)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B68=B69,0,1)	=IF(B68=B67,L67&IF(C68=0,A68,A68&"{"&C68&"}"),IF(C68=0,A68,A68&"{"&C68&"}"))	=D68&E68	=IF(M68=M69,0,1)	=IF(N67=0,IF(K67=0,IF(B68=B67,O67&IF(C68=0,A68,A68&"{"&C68&"}"),"["&J68&"]"&IF(C68=0,A68,A68&"{"&C68&"}")),O67&"["&J68&"]"&IF(C68=0,A68,A68&"{"&C68&"}")),"["&J68&"]"&IF(C68=0,A68,A68&"{"&C68&"}"))	=M68&O68
致	=D69&E69&F69		t	i	21	=IF(D69=0,"〇",D69)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B69=B70,0,1)	=IF(B69=B68,L68&IF(C69=0,A69,A69&"{"&C69&"}"),IF(C69=0,A69,A69&"{"&C69&"}"))	=D69&E69	=IF(M69=M70,0,1)	=IF(N68=0,IF(K68=0,IF(B69=B68,O68&IF(C69=0,A69,A69&"{"&C69&"}"),"["&J69&"]"&IF(C69=0,A69,A69&"{"&C69&"}")),O68&"["&J69&"]"&IF(C69=0,A69,A69&"{"&C69&"}")),"["&J69&"]"&IF(C69=0,A69,A69&"{"&C69&"}"))	=M69&O69
