"繁体字"	"简体字"	"国际音标"	"吴语拼音"	"备注"	"调类"	"调值"					
"素"	"素"	"sɯ423"	"sou5"		5	423		"s"	"ou"	"s"	"ɯ"
"訴"	"诉"	"sɯ423"	"sou5"		5	423		"s"	"ou"	"s"	"ɯ"
"姑"	"姑"	"ku53"	"ku1"		1	53		"k"	"u"	"k"	"u"
"孤"	"孤"	"ku53"	"ku1"		1	53		"k"	"u"	"k"	"u"
"估"	"估"	"ku44"	"ku3"		3	44		"k"	"u"	"k"	"u"
"古"	"古"	"ku44"	"ku3"		3	44		"k"	"u"	"k"	"u"
"股"	"股"	"ku44"	"ku3"		3	44		"k"	"u"	"k"	"u"
"鼓"	"鼓"	"ku44"	"ku3"		3	44		"k"	"u"	"k"	"u"
"故"	"故"	"ku423"	"ku5"		5	423		"k"	"u"	"k"	"u"
"固"	"固"	"ku423"	"ku5"		5	423		"k"	"u"	"k"	"u"
"顧"	"顾"	"ku423"	"ku5"		5	423		"k"	"u"	"k"	"u"
"僱"	"雇"	"ku423"	"ku5"		5	423		"k"	"u"	"k"	"u"
"枯"	"枯"	"kʰu53"	"khu1"		1	53		"kh"	"u"	"kʰ"	"u"
"苦"	"苦"	"kʰu44"	"khu3"		3	44		"kh"	"u"	"kʰ"	"u"
"庫"	"库"	"kʰu423"	"khu5"		5	423		"kh"	"u"	"kʰ"	"u"
"褲"	"裤"	"kʰu44"	"khu3"		3	44		"kh"	"u"	"kʰ"	"u"
"吳"	"吴"	"ŋ̍24"	"ng2"	"【白读】姓；~县，~江（江苏地名）；~溇（江苏吴江地名）；~趋坊（江苏苏州地名）；~淞江。"	2	24			"ng"		"ŋ̍"
"吳"	"吴"	"ɦoŋ24"	"ghon2"	"【白读】~市（江苏常熟地名）；~山渡（浙江长兴地名）。"	2	24		"gh"	"on"	"ɦ"	"oŋ"
"吳"	"吴"	"ɦu24"	"wu2"	"【文读】~国；东~；~越；~语。"	2	24		"w"	"u"	"ɦ"	"u"
"梧"	"梧"	"ŋɯ24"	"ngou2"		2	24		"ng"	"ou"	"ŋ"	"ɯ"
"吾"	"吾"	"ŋɯ24"	"ngou2"		2	24		"ng"	"ou"	"ŋ"	"ɯ"
"午"	"午"	"ɦu31"	"wu4"	"【文读】"	4	31		"w"	"u"	"ɦ"	"u"
"午"	"午"	"ŋ̍31"	"ng4"	"【白读】端~。"	4	31			"ng"		"ŋ̍"
"忤"	"忤"	"ŋ̍31"	"ng4"	"【白读】~逆。"	4	31			"ng"		"ŋ̍"
"伍"	"伍"	"ɦu31"	"wu4"	"【文读】队~。"	4	31		"w"	"u"	"ɦ"	"u"
"伍"	"伍"	"u53"	"u1"	"【文读】~子胥；~胥庙（江苏太仓地名）。"	1	53			"u"		"u"
"伍"	"伍"	"ŋ̍31"	"ng4"	"【文读】“五”的大写。"	4	31			"ng"		"ŋ̍"
"五"	"五"	"ŋ̍31"	"ng4"	"【白读】数字。"	4	31			"ng"		"ŋ̍"
"五"	"五"	"u53"	"u1"	"【文读】~里桥（上海黄浦地名）；节日、纪念日及相关地名：~一；~四；~卅。"	1	53			"u"		"u"
"誤"	"误"	"ŋɯ213"	"ngou6"		6	213		"ng"	"ou"	"ŋ"	"ɯ"
"悟"	"悟"	"ŋɯ213"	"ngou6"		6	213		"ng"	"ou"	"ŋ"	"ɯ"
"蜈"	"蜈"	"ŋɯ24"	"ngou2"		2	24		"ng"	"ou"	"ŋ"	"ɯ"
"呼"	"呼"	"hu53"	"hu1"		1	53		"h"	"u"	"h"	"u"
"虎"	"虎"	"hu44"	"hu3"		3	44		"h"	"u"	"h"	"u"
"胡"	"胡"	"ɦu24"	"wu2"		2	24		"w"	"u"	"ɦ"	"u"
"湖"	"湖"	"ɦu24"	"wu2"		2	24		"w"	"u"	"ɦ"	"u"
"狐"	"狐"	"ɦu24"	"wu2"		2	24		"w"	"u"	"ɦ"	"u"
"壼"	"壸"	"ɦu24"	"wu2"		2	24		"w"	"u"	"ɦ"	"u"
"戶"	"户"	"ɦu31"	"wu4"		4	31		"w"	"u"	"ɦ"	"u"
"滬"	"沪"	"ɦu31"	"wu4"		4	31		"w"	"u"	"ɦ"	"u"
"護"	"护"	"ɦu213"	"wu6"		6	213		"w"	"u"	"ɦ"	"u"
"互"	"互"	"ŋɯ213"	"ngou6"		6	213		"ng"	"ou"	"ŋ"	"ɯ"
"烏"	"乌"	"u53"	"u1"		1	53			"u"		"u"
"惡"	"恶"	"u423"	"u5"	"可~。"	5	423			"u"		"u"
"女"	"女"	"ȵi31"	"gni4"	"【文读】妇~。"	4	31		"gn"	"i"	"ȵ"	"i"
"女"	"女"	"ȵi31"	"gni4"	"【白读】~婿。"	4	31		"gn"	"i"	"ȵ"	"i"
"女"	"女"	"nɤ31"	"noe4"	"~儿。俗写作“囡”。"	4	31		"n"	"oe"	"n"	"ɤ"
"驢"	"驴"	"lɯ24"	"lou2"		2	24		"l"	"ou"	"l"	"ɯ"
"驢"	"驴"	"li24"	"li2"		2	24		"l"	"i"	"l"	"i"
"廬"	"庐"	"lɯ24"	"lou2"		2	24		"l"	"ou"	"l"	"ɯ"
"呂"	"吕"	"li31"	"li4"		4	31		"l"	"i"	"l"	"i"
"旅"	"旅"	"li31"	"li4"		4	31		"l"	"i"	"l"	"i"
"慮"	"虑"	"li213"	"li6"		6	213		"l"	"i"	"l"	"i"
"濾"	"滤"	"li213"	"li6"		6	213		"l"	"i"	"l"	"i"
"蛆"	"蛆"	"tsʰi53"	"tshi1"		1	53		"tsh"	"i"	"tsʰ"	"i"
"徐"	"徐"	"zi24"	"zi2"		2	24		"z"	"i"	"z"	"i"
"序"	"序"	"dzi31"	"dzi4"		4	31		"dz"	"i"	"dz"	"i"
"敘"	"叙"	"dzi31"	"dzi4"		4	31		"dz"	"i"	"dz"	"i"
"緒"	"绪"	"dzi31"	"dzi4"		4	31		"dz"	"i"	"dz"	"i"
"豬"	"猪"	"tʂʯ53"	"cyu1"		1	53		"c"	"yu"	"tʂ"	"ʯ"
"著"	"著"	"tʂʯ423"	"cyu5"		5	423		"c"	"yu"	"tʂ"	"ʯ"
"除"	"除"	"dʐʯ24"	"jyu2"		2	24		"j"	"yu"	"dʐ"	"ʯ"
"儲"	"储"	"dʐʯ24"	"jyu2"	"【文读】~蓄所。"	2	24		"j"	"yu"	"dʐ"	"ʯ"
"儲"	"储"	"dʐʯ24"	"jyu2"	"【白读】姓。"	2	24		"j"	"yu"	"dʐ"	"ʯ"
"阻"	"阻"	"tsɯ44"	"tsou3"		3	44		"ts"	"ou"	"ts"	"ɯ"
"初"	"初"	"tsʰɯ53"	"tshou1"		1	53		"tsh"	"ou"	"tsʰ"	"ɯ"
"楚"	"楚"	"tsʰɯ44"	"tshou3"		3	44		"tsh"	"ou"	"tsʰ"	"ɯ"
"鋤"	"锄"	"zɿ24"	"zy2"	"~头。"	2	24		"z"	"y"	"z"	"ɿ"
"助"	"助"	"dzɯ213"	"dzou6"		6	213		"dz"	"ou"	"dz"	"ɯ"
"梳"	"梳"	"sɿ53"	"sy1"		1	53		"s"	"y"	"s"	"ɿ"
"疏"	"疏"	"sɯ53"	"sou1"		1	53		"s"	"ou"	"s"	"ɯ"
"蔬"	"蔬"	"sɯ53"	"sou1"		1	53		"s"	"ou"	"s"	"ɯ"
"所"	"所"	"sɯ44"	"sou3"		3	44		"s"	"ou"	"s"	"ɯ"
"苧"	"苎"	"dʐʯ31"	"jyu4"		4	31		"j"	"yu"	"dʐ"	"ʯ"
"諸"	"诸"	"tʂʯ53"	"cyu1"	"【文读】符合《广韵》章鱼切。"	1	53		"c"	"yu"	"tʂ"	"ʯ"
"諸"	"诸"	"tʂʯ53"	"cyu1"	"【白读】~翟（上海闵行地名）。符合《广韵》章鱼切。"	1	53		"c"	"yu"	"tʂ"	"ʯ"
"諸"	"诸"	"tsu53"	"tsu1"	"~溇（浙江湖州地名）。符合《广韵》正奢切。"	1	53		"ts"	"u"	"ts"	"u"
"煮"	"煮"	"tʂʯ44"	"cyu3"		3	44		"c"	"yu"	"tʂ"	"ʯ"
"處"	"处"	"tʂʰʯ44"	"chyu3"		3	44		"ch"	"yu"	"tʂʰ"	"ʯ"
"處"	"处"	"tʂʰʯ423"	"chyu5"		5	423		"ch"	"yu"	"tʂʰ"	"ʯ"
"書"	"书"	"ʂʯ53"	"shyu1"		1	53		"sh"	"yu"	"ʂ"	"ʯ"
"舒"	"舒"	"ʂʯ53"	"shyu1"		1	53		"sh"	"yu"	"ʂ"	"ʯ"
"暑"	"暑"	"ʂʯ44"	"shyu3"		3	44		"sh"	"yu"	"ʂ"	"ʯ"
"鼠"	"鼠"	"tʂʰʯ44"	"chyu3"		3	44		"ch"	"yu"	"tʂʰ"	"ʯ"
"署"	"署"	"ʐʯ213"	"zhyu6"		6	213		"zh"	"yu"	"ʐ"	"ʯ"
"曙"	"曙"	"ʐʯ213"	"zhyu6"		6	213		"zh"	"yu"	"ʐ"	"ʯ"
"薯"	"薯"	"ʐʯ213"	"zhyu6"		6	213		"zh"	"yu"	"ʐ"	"ʯ"
"如"	"如"	"ʐʯ24"	"zhyu2"		2	24		"zh"	"yu"	"ʐ"	"ʯ"
"居"	"居"	"tɕi53"	"ci1"	"~家桥（上海浦东地名）。"	1	53		"c"	"i"	"tɕ"	"i"
"居"	"居"	"tɕi53"	"ci1"	"【文读】~住；~民。"	1	53		"c"	"i"	"tɕ"	"i"
"居"	"居"	"kᴇ53"	"kei1"	"【白读】拥有：~家当，~铜钱。"	1	53		"k"	"ei"	"k"	"ᴇ"
"裾"	"裾"	"kᴇ53"	"kei1"		1	53		"k"	"ei"	"k"	"ᴇ"
"舉"	"举"	"tɕi44"	"ci3"		3	44		"c"	"i"	"tɕ"	"i"
"據"	"据"	"tɕi423"	"ci5"		5	423		"c"	"i"	"tɕ"	"i"
"鋸"	"锯"	"kᴇ423"	"kei5"	"~子。"	5	423		"k"	"ei"	"k"	"ᴇ"
"去"	"去"	"kʰᴇ423"	"khei5"	"【白读】"	5	423		"kh"	"ei"	"kʰ"	"ᴇ"
"去"	"去"	"tɕʰi423"	"chi5"	"【文读】~向；~声。"	5	423		"ch"	"i"	"tɕʰ"	"i"
"渠"	"渠"	"ɦᴇ24"	"ghei2"	"【白读】第三人称单数。"	2	24		"gh"	"ei"	"ɦ"	"ᴇ"
"渠"	"渠"	"dʑi24"	"ji2"	"【文读】水~；~道。"	2	24		"j"	"i"	"dʑ"	"i"
"巨"	"巨"	"dʑi213"	"ji6"		6	213		"j"	"i"	"dʑ"	"i"
"拒"	"拒"	"dʑi213"	"ji6"		6	213		"j"	"i"	"dʑ"	"i"
"距"	"距"	"dʑi213"	"ji6"		6	213		"j"	"i"	"dʑ"	"i"
"魚"	"鱼"	"ŋᴇ24"	"ngei2"	"【白读】"	2	24		"ng"	"ei"	"ŋ"	"ᴇ"
"魚"	"鱼"	"ɦi24"	"yi2"	"【文读】木~。"	2	24		"y"	"i"	"ɦ"	"i"
"漁"	"渔"	"ɦi24"	"yi2"		2	24		"y"	"i"	"ɦ"	"i"
"語"	"语"	"ȵi31"	"gni4"		4	31		"gn"	"i"	"ȵ"	"i"
"禦"	"御"	"ȵi213"	"gni6"		6	213		"gn"	"i"	"ȵ"	"i"
"虛"	"虚"	"hᴇ53"	"hei1"	"~肿。"	1	53		"h"	"ei"	"h"	"ᴇ"
"虛"	"虚"	"ɕi53"	"shi1"		1	53		"sh"	"i"	"ɕ"	"i"
"噓"	"嘘"	"ɕi53"	"shi1"		1	53		"sh"	"i"	"ɕ"	"i"
"許"	"许"	"hᴇ44"	"hei3"	"许诺，答应。~愿。"	3	44		"h"	"ei"	"h"	"ᴇ"
"許"	"许"	"hæ44"	"hae3"	"在~（在）。"	3	44		"h"	"ae"	"h"	"æ"
"許"	"许"	"hu44"	"hu3"	"场~（地方）；几~（多少）。"	3	44		"h"	"u"	"h"	"u"
"許"	"许"	"ɕi44"	"shi3"	"姓。允~。"	3	44		"sh"	"i"	"ɕ"	"i"
"滸"	"浒"	"ɕi44"	"shi3"	"~墅关（江苏苏州地名）；~浦（江苏常熟地名）；滩~（浙江嵊泗地名）。"	3	44		"sh"	"i"	"ɕ"	"i"
"滸"	"浒"	"hu44"	"hu3"	"~山（浙江慈溪地名）；水~。"	3	44		"h"	"u"	"h"	"u"
"餘"	"余"	"ɦi24"	"yi2"		2	24		"y"	"i"	"ɦ"	"i"
"與"	"与"	"ɦi31"	"yi4"	"~众不同。"	4	31		"y"	"i"	"ɦ"	"i"
"與"	"与"	"ɦi213"	"yi6"	"参~。"	6	213		"y"	"i"	"ɦ"	"i"
"預"	"预"	"ɦi213"	"yi6"		6	213		"y"	"i"	"ɦ"	"i"
"譽"	"誉"	"ɦi213"	"yi6"		6	213		"y"	"i"	"ɦ"	"i"
"豫"	"豫"	"ɦi213"	"yi6"		6	213		"y"	"i"	"ɦ"	"i"
"膚"	"肤"	"fu53"	"fu1"		1	53		"f"	"u"	"f"	"u"
"夫"	"夫"	"fu53"	"fu1"		1	53		"f"	"u"	"f"	"u"
"府"	"府"	"fu44"	"fu3"		3	44		"f"	"u"	"f"	"u"
"俯"	"俯"	"fu44"	"fu3"		3	44		"f"	"u"	"f"	"u"
"腑"	"腑"	"fu44"	"fu3"		3	44		"f"	"u"	"f"	"u"
"斧"	"斧"	"fu44"	"fu3"		3	44		"f"	"u"	"f"	"u"
"付"	"付"	"fu423"	"fu5"		5	423		"f"	"u"	"f"	"u"
"傅"	"傅"	"fu423"	"fu5"	"姓。"	5	423		"f"	"u"	"f"	"u"
"傅"	"傅"	"vu213"	"vu6"	"师~。"	6	213		"v"	"u"	"v"	"u"
"俘"	"俘"	"fu53"	"fu1"		1	53		"f"	"u"	"f"	"u"
"敷"	"敷"	"fu53"	"fu1"		1	53		"f"	"u"	"f"	"u"
"赴"	"赴"	"fu423"	"fu5"		5	423		"f"	"u"	"f"	"u"
"符"	"符"	"vu24"	"vu2"		2	24		"v"	"u"	"v"	"u"
"芙"	"芙"	"vu24"	"vu2"		2	24		"v"	"u"	"v"	"u"
"扶"	"扶"	"vu24"	"vu2"		2	24		"v"	"u"	"v"	"u"
"腐"	"腐"	"vu31"	"vu4"		4	31		"v"	"u"	"v"	"u"
"輔"	"辅"	"vu31"	"vu4"		4	31		"v"	"u"	"v"	"u"
"父"	"父"	"vu31"	"vu4"		4	31		"v"	"u"	"v"	"u"
"附"	"附"	"vu213"	"vu6"		6	213		"v"	"u"	"v"	"u"
"無"	"无"	"vu24"	"vu2"	"~论；~锡（江苏地名）。"	2	24		"v"	"u"	"v"	"u"
"無"	"无"	"m̩24"	"m2"	"~没，~不（没有）。俗写作“呒”。"	2	24			"m"		"m̩"
"無"	"无"	"mu24"	"mu2"	"南~阿弥陀佛。"	2	24		"m"	"u"	"m"	"u"
"誣"	"诬"	"vu24"	"vu2"		2	24		"v"	"u"	"v"	"u"
"舞"	"舞"	"vu31"	"vu4"		4	31		"v"	"u"	"v"	"u"
"武"	"武"	"vu31"	"vu4"		4	31		"v"	"u"	"v"	"u"
"武"	"武"	"ŋ̍31"	"ng4"	"~山（江苏苏州地名）。"	4	31			"ng"		"ŋ̍"
"務"	"务"	"vu213"	"vu6"		6	213		"v"	"u"	"v"	"u"
"霧"	"雾"	"vu213"	"vu6"		6	213		"v"	"u"	"v"	"u"
"屢"	"屡"	"li44"	"li3"		3	44		"l"	"i"	"l"	"i"
"趨"	"趋"	"tsʰi53"	"tshi1"		1	53		"tsh"	"i"	"tsʰ"	"i"
"取"	"取"	"tsʰi44"	"tshi3"		3	44		"tsh"	"i"	"tsʰ"	"i"
"娶"	"娶"	"tsʰi44"	"tshi3"		3	44		"tsh"	"i"	"tsʰ"	"i"
"趣"	"趣"	"tsʰi423"	"tshi5"		5	423		"tsh"	"i"	"tsʰ"	"i"
"聚"	"聚"	"dzi31"	"dzi4"		4	31		"dz"	"i"	"dz"	"i"
"需"	"需"	"si53"	"si1"		1	53		"s"	"i"	"s"	"i"
"須"	"须"	"si53"	"si1"	"【文读】"	1	53		"s"	"i"	"s"	"i"
"須"	"须"	"siɯ53"	"siou1"	"【白读】"	1	53		"s"	"iou"	"s"	"iɯ"
"蛛"	"蛛"	"tʂʯ53"	"cyu1"		1	53		"c"	"yu"	"tʂ"	"ʯ"
"株"	"株"	"tʂʯ53"	"cyu1"		1	53		"c"	"yu"	"tʂ"	"ʯ"
"駐"	"驻"	"tʂʯ423"	"cyu5"		5	423		"c"	"yu"	"tʂ"	"ʯ"
"注"	"注"	"tʂʯ423"	"cyu5"		5	423		"c"	"yu"	"tʂ"	"ʯ"
"廚"	"厨"	"dʐʯ24"	"jyu2"		2	24		"j"	"yu"	"dʐ"	"ʯ"
"柱"	"柱"	"dʐʯ31"	"jyu4"		4	31		"j"	"yu"	"dʐ"	"ʯ"
"住"	"住"	"dʐʯ213"	"jyu6"		6	213		"j"	"yu"	"dʐ"	"ʯ"
"數"	"数"	"sɯ423"	"sou5"		5	423		"s"	"ou"	"s"	"ɯ"
"朱"	"朱"	"tʂʯ53"	"cyu1"		1	53		"c"	"yu"	"tʂ"	"ʯ"
"珠"	"珠"	"tʂʯ53"	"cyu1"		1	53		"c"	"yu"	"tʂ"	"ʯ"
"主"	"主"	"tʂʯ44"	"cyu3"		3	44		"c"	"yu"	"tʂ"	"ʯ"
"注"	"注"	"tʂʯ423"	"cyu5"		5	423		"c"	"yu"	"tʂ"	"ʯ"
"蛀"	"蛀"	"tʂʯ423"	"cyu5"		5	423		"c"	"yu"	"tʂ"	"ʯ"
"鑄"	"铸"	"tʂʯ423"	"cyu5"		5	423		"c"	"yu"	"tʂ"	"ʯ"
"輸"	"输"	"ʂʯ423"	"shyu5"		5	423		"sh"	"yu"	"ʂ"	"ʯ"
"輸"	"输"	"ʂʯ53"	"shyu1"		1	53		"sh"	"yu"	"ʂ"	"ʯ"
"殊"	"殊"	"dʐʯ24"	"jyu2"		2	24		"j"	"yu"	"dʐ"	"ʯ"
"豎"	"竖"	"ʐʯ31"	"zhyu4"		4	31		"zh"	"yu"	"ʐ"	"ʯ"
"樹"	"树"	"ʐʯ213"	"zhyu6"	"一棵~。"	6	213		"zh"	"yu"	"ʐ"	"ʯ"
"樹"	"树"	"ʐʯ31"	"zhyu4"	"~立。"	4	31		"zh"	"yu"	"ʐ"	"ʯ"
"儒"	"儒"	"ʐʯ24"	"zhyu2"		2	24		"zh"	"yu"	"ʐ"	"ʯ"
"乳"	"乳"	"dʐʯ31"	"jyu4"		4	31		"j"	"yu"	"dʐ"	"ʯ"
"拘"	"拘"	"tɕi53"	"ci1"		1	53		"c"	"i"	"tɕ"	"i"
"句"	"句"	"tɕi423"	"ci5"		5	423		"c"	"i"	"tɕ"	"i"
"句"	"句"	"kᴇ53"	"kei1"	"“勾”本字：越王~践。高~丽。"	1	53		"k"	"ei"	"k"	"ᴇ"
"區"	"区"	"tɕʰi53"	"chi1"		1	53		"ch"	"i"	"tɕʰ"	"i"
"區"	"区"	"ᴇ53"	"ei1"	"姓；具~（太湖的别称）。"	1	53			"ei"		"ᴇ"
"驅"	"驱"	"tɕʰi53"	"chi1"		1	53		"ch"	"i"	"tɕʰ"	"i"
"瞿"	"瞿"	"dʑi24"	"ji2"		2	24		"j"	"i"	"dʑ"	"i"
"具"	"具"	"dʑi213"	"ji6"		6	213		"j"	"i"	"dʑ"	"i"
"愚"	"愚"	"ȵi24"	"gni2"		2	24		"gn"	"i"	"ȵ"	"i"
"虞"	"虞"	"ȵi24"	"gni2"		2	24		"gn"	"i"	"ȵ"	"i"
"娛"	"娱"	"ȵi24"	"gni2"		2	24		"gn"	"i"	"ȵ"	"i"
"遇"	"遇"	"ȵi213"	"gni6"		6	213		"gn"	"i"	"ȵ"	"i"
"寓"	"寓"	"ȵi213"	"gni6"		6	213		"gn"	"i"	"ȵ"	"i"
"於"	"于"	"ɦi24"	"yi2"		2	24		"y"	"i"	"ɦ"	"i"
"盂"	"盂"	"ɦi24"	"yi2"		2	24		"y"	"i"	"ɦ"	"i"
"雨"	"雨"	"ɦi31"	"yi4"		4	31		"y"	"i"	"ɦ"	"i"
"羽"	"羽"	"ɦi31"	"yi4"		4	31		"y"	"i"	"ɦ"	"i"
"宇"	"宇"	"ɦi31"	"yi4"		4	31		"y"	"i"	"ɦ"	"i"
"禹"	"禹"	"ɦi31"	"yi4"		4	31		"y"	"i"	"ɦ"	"i"
"芋"	"芋"	"ɦi213"	"yi6"		6	213		"y"	"i"	"ɦ"	"i"
"俞"	"俞"	"ɦi24"	"yi2"		2	24		"y"	"i"	"ɦ"	"i"
"揄"	"揄"	"ɦi24"	"yi2"		2	24		"y"	"i"	"ɦ"	"i"
"榆"	"榆"	"ɦi24"	"yi2"		2	24		"y"	"i"	"ɦ"	"i"
"愉"	"愉"	"ɦi24"	"yi2"		2	24		"y"	"i"	"ɦ"	"i"
"愈"	"愈"	"ɦi31"	"yi4"		4	31		"y"	"i"	"ɦ"	"i"
"裕"	"裕"	"ɦi213"	"yi6"		6	213		"y"	"i"	"ɦ"	"i"
"喻"	"喻"	"ɦi213"	"yi6"		6	213		"y"	"i"	"ɦ"	"i"
"戴"	"戴"	"tæ423"	"tae5"	"姓。"	5	423		"t"	"ae"	"t"	"æ"
"戴"	"戴"	"tɑ423"	"ta5"	"动词。本字为“带”。"	5	423		"t"	"a"	"t"	"ɑ"
"埭"	"埭"	"dæ213"	"dae6"	"堤坝：黄~（江苏苏州地名）。"	6	213		"d"	"ae"	"d"	"æ"
"埭"	"埭"	"dɑ213"	"da6"	"条状地形、条状物、量词：一~（一排）。"	6	213		"d"	"a"	"d"	"ɑ"
"埭"	"埭"	"dɒ̃213"	"daon6"	"表示方位、处所的词，意思是“此处”，多见于地名。在常熟地名中多作“宕”。"	6	213		"d"	"aon"	"d"	"ɒ̃"
"胎"	"胎"	"tʰæ53"	"thae1"		1	53		"th"	"ae"	"tʰ"	"æ"
"態"	"态"	"tʰæ423"	"thae5"		5	423		"th"	"ae"	"tʰ"	"æ"
"台"	"台"	"tʰæ53"	"thae1"	"星宿名，古代用三台来比喻三公：~州，天~（浙江地名）。"	1	53		"th"	"ae"	"tʰ"	"æ"
"臺"	"台"	"dæ24"	"dae2"	"戏~；电视~；~湾。"	2	24		"d"	"ae"	"d"	"æ"
"檯"	"台"	"dæ24"	"dae2"	"~子；写字~；讲~。"	2	24		"d"	"ae"	"d"	"æ"
"颱"	"台"	"dæ24"	"dae2"	"~风。"	2	24		"d"	"ae"	"d"	"æ"
"苔"	"苔"	"tʰæ53"	"thae1"	"青~；~藓；舌~。"	1	53		"th"	"ae"	"tʰ"	"æ"
"苔"	"苔"	"dæ24"	"dae2"	"芸~；韭~。"	2	24		"d"	"ae"	"d"	"æ"
"抬"	"抬"	"dæ24"	"dae2"		2	24		"d"	"ae"	"d"	"æ"
"待"	"待"	"dæ31"	"dae4"		4	31		"d"	"ae"	"d"	"æ"
"怠"	"怠"	"dæ31"	"dae4"		4	31		"d"	"ae"	"d"	"æ"
"代"	"代"	"dæ213"	"dae6"		6	213		"d"	"ae"	"d"	"æ"
"袋"	"袋"	"dæ213"	"dae6"		6	213		"d"	"ae"	"d"	"æ"
"乃"	"乃"	"næ53"	"nae1"	"【文读】~是。"	1	53		"n"	"ae"	"n"	"æ"
"乃"	"乃"	"næ31"	"nae4"	"【白读】杨~武。"	4	31		"n"	"ae"	"n"	"æ"
"耐"	"耐"	"næ213"	"nae6"		6	213		"n"	"ae"	"n"	"æ"
"來"	"来"	"læ24"	"lae2"		2	24		"l"	"ae"	"l"	"æ"
"災"	"灾"	"tsæ53"	"tsae1"		1	53		"ts"	"ae"	"ts"	"æ"
"栽"	"栽"	"tsæ53"	"tsae1"		1	53		"ts"	"ae"	"ts"	"æ"
"宰"	"宰"	"tsæ44"	"tsae3"		3	44		"ts"	"ae"	"ts"	"æ"
"載"	"载"	"tsæ423"	"tsae5"	"~重。"	5	423		"ts"	"ae"	"ts"	"æ"
"再"	"再"	"tsæ423"	"tsae5"		5	423		"ts"	"ae"	"ts"	"æ"
"猜"	"猜"	"tsʰᴇ53"	"tshei1"		1	53		"tsh"	"ei"	"tsʰ"	"ᴇ"
"彩"	"彩"	"tsʰæ44"	"tshae3"	"~色；~票。"	3	44		"tsh"	"ae"	"tsʰ"	"æ"
"綵"	"彩"	"tsʰæ44"	"tshae3"	"张灯结~；剪~。"	3	44		"tsh"	"ae"	"tsʰ"	"æ"
"採"	"采"	"tsʰæ44"	"tshae3"		3	44		"tsh"	"ae"	"tsʰ"	"æ"
"睬"	"睬"	"tsʰæ44"	"tshae3"		3	44		"tsh"	"ae"	"tsʰ"	"æ"
"菜"	"菜"	"tsʰæ423"	"tshae5"		5	423		"tsh"	"ae"	"tsʰ"	"æ"
"才"	"才"	"dzæ24"	"dzae2"		2	24		"dz"	"ae"	"dz"	"æ"
"財"	"财"	"dzæ24"	"dzae2"		2	24		"dz"	"ae"	"dz"	"æ"
"材"	"材"	"dzæ24"	"dzae2"		2	24		"dz"	"ae"	"dz"	"æ"
"裁"	"裁"	"zæ24"	"zae2"		2	24		"z"	"ae"	"z"	"æ"
"在"	"在"	"zæ31"	"zae4"		4	31		"z"	"ae"	"z"	"æ"
"載"	"载"	"dzæ213"	"dzae6"	"满~。"	6	213		"dz"	"ae"	"dz"	"æ"
"賽"	"赛"	"sᴇ423"	"sei5"		5	423		"s"	"ei"	"s"	"ᴇ"
"該"	"该"	"kæ53"	"kae1"		1	53		"k"	"ae"	"k"	"æ"
"改"	"改"	"kæ44"	"kae3"		3	44		"k"	"ae"	"k"	"æ"
"概"	"概"	"kæ44"	"kae3"		3	44		"k"	"ae"	"k"	"æ"
"開"	"开"	"kʰæ53"	"khae1"		1	53		"kh"	"ae"	"kʰ"	"æ"
"慨"	"慨"	"kʰæ44"	"khae3"		3	44		"kh"	"ae"	"kʰ"	"æ"
"礙"	"碍"	"ŋæ213"	"ngae6"		6	213		"ng"	"ae"	"ŋ"	"æ"
"隑"	"隑"	"gæ213"	"gae6"	"倚靠。"	6	213		"g"	"ae"	"g"	"æ"
"戤"	"戤"	"gæ213"	"gae6"	"王家~（上海松江地名）。同“隑”。"	6	213		"g"	"ae"	"g"	"æ"
"海"	"海"	"hæ44"	"hae3"		3	44		"h"	"ae"	"h"	"æ"
"孩"	"孩"	"ɦæ24"	"ghae2"		2	24		"gh"	"ae"	"ɦ"	"æ"
"哀"	"哀"	"æ53"	"ae1"		1	53			"ae"		"æ"
"愛"	"爱"	"æ423"	"ae5"		5	423			"ae"		"æ"
"貝"	"贝"	"pᴇ423"	"pei5"		5	423		"p"	"ei"	"p"	"ᴇ"
"沛"	"沛"	"pʰᴇ423"	"phei5"		5	423		"ph"	"ei"	"pʰ"	"ᴇ"
"帶"	"带"	"tɑ423"	"ta5"		5	423		"t"	"a"	"t"	"ɑ"
"太"	"太"	"tʰɑ423"	"tha5"		5	423		"th"	"a"	"tʰ"	"ɑ"
"泰"	"泰"	"tʰɑ423"	"tha5"		5	423		"th"	"a"	"tʰ"	"ɑ"
"大"	"大"	"dɑ213"	"da6"	"~王。"	6	213		"d"	"a"	"d"	"ɑ"
"奈"	"奈"	"nɑ213"	"na6"	"【白读】~何桥。"	6	213		"n"	"a"	"n"	"ɑ"
"奈"	"奈"	"næ213"	"nae6"	"【文读】"	6	213		"n"	"ae"	"n"	"æ"
"瘌"	"瘌"	"laʔ23"	"laeq8"		8	23		"l"	"aeq"	"l"	"aʔ"
"賴"	"赖"	"lɑ213"	"la6"		6	213		"l"	"a"	"l"	"ɑ"
"蔡"	"蔡"	"tsʰɑ423"	"tsha5"		5	423		"tsh"	"a"	"tsʰ"	"ɑ"
"蓋"	"盖"	"kæ44"	"kae3"		3	44		"k"	"ae"	"k"	"æ"
