"例字"	"中古音"	"电白龙山海话"	"罗定漳州话"	"湛江雷州黎话"	"吴川兰石东话"	"说明：兰石东话 阴平 33 家多初开 阳平 22 牙河图鱼 阴上 31 左把假女 阳上 42 午谢异硬 阴去 44 化废放布 阴入 5 发括得绩 阳入 2 活越贼局 升降调 453 之爸血百"
"网"	"宕合三上养微"	"maŋ42"	"ɓaŋ22"	"maŋ33"	"maŋ42"	
"望"	"宕合三去漾微"	"moŋ33"	"ɓɐŋ22"	"mo24"	"moŋ44"	
"筐"	"宕合三平阳溪"	"kuaŋ33"	"kʰaŋ45"	"kʰiaŋ24"	"——"	
"狂"	"宕合三平阳群"	"kuaŋ22"	"koŋ24"	"kʰuaŋ24"	"kʰɔŋ22"	
"王"	"江开二平阳云"	"ui22"	"ui24"	"hiaŋ22"	"ui22"	
"绑"	"江开二上讲帮"	"paŋ31"	"pak2"	"pak5"	"ɓak2"	
"剥"	"江开二入觉帮"	"mok5"	"ɓak5"	"moi453/pok5"	"——"	
"驳"	"江开二入觉帮"	"————"	"pok5"	"pok5"	"——"	
"雹"	"江开二入觉并"	"pau22"	"pʰok5"	"pʰak5"	"pʰau453"	
"桌"	"江开二入觉知"	"tsʰoŋ22"	"to451"	"tsʰo22"	"tɔk5"	
"啄"	"江开二入觉知"	"tʰiaŋ53/tsʰem53"	"tiem45"	"tsʰok5"	"tɔk2"	
"捉"	"江开二入觉庄"	"ʦɔk5"	"ɗia443"	"lia33"	"——"	
"窗"	"江开二平江初"	"tʰiaŋ33"	"tsʰyo45"	"tʰiaŋ24"	"kʰɛŋ33"	
"双"	"江开二平江生"	"ɬiaŋ33"	"siaŋ45"	"siaŋ24"	"ɬiaŋ33"	
"江"	"江开二平江见"	"kiaŋ33"	"kaŋ45"	"kiaŋ24"	"kɔŋ33"	
"讲"	"江开二上讲见"	"koŋ31"	"koŋ451"	"ko41"	"kaŋ31"	
"角"	"江开二入觉见"	"kak5"	"kak5"	"kak5"	"kak5"	
"壳"	"江开二入觉溪"	"kʰak5"	"kʰak5"	"kʰak5"	"kʰak5"	
"巷"	"江开二去绛匣"	"laŋ44"	"haŋ31"	"ho24"	"oŋ33"	
"学"	"江开二入觉匣"	"ɔ33"	"o443"	"o33"	"ɔ42"	
"北"	"曾开一入德帮"	"pak5"	"pak5"	"pak5"	"ɓət5"	
"墨"	"曾开一入德明"	"mak2"	"ɓak2"	"ɓak2"	"pʰət2"	
"灯"	"曾开一平登明"	"tɛŋ33"	"tiŋ45"	"tiŋ24"	"ɗən33"	
"等"	"曾开一上等端"	"taŋ31"	"tʰiŋ31"	"taŋ41"	"ɗaŋ31/ɗən31"	
"德"	"曾开一入德端"	"tak5"	"tak5"	"tik5"	"ɗət5"	
"藤"	"曾开一入登定"	"tiŋ22"	"tin24"	"tʰaŋ22"	"ɗin22"	
"特"	"曾开一平登定"	"tak2"	"tak2"	"tik2"	"ɗət2"	
"能"	"曾开一平登泥"	"naŋ22"	"nɐŋ24"	"nɛŋ22"	"nən22"	
"曾"	"曾开一平灯精"	"ʦaŋ33"	"ʦɐŋ45"	"tsʰaŋ24"	"sən22"	
"层"	"曾开一平登从"	"tiaŋ22"	"tsʰaŋ24"	"tiaŋ22"	"ɗiaŋ22"	
"贼"	"曾开一入德从"	"tsʰak2"	"tsʰak2"	"tsʰak5"	"sak2"	
"肯"	"曾开一上等溪"	"kʰaŋ31"	"kʰiŋ451"	"kʰiɛŋ41"	"kʰin31"	
"黑"	"曾开一入德晓"	"ɛu33"	"ou45"	"ɛu24"	"ɛu33"	
"冰"	"曾开三平蒸帮"	"pɛŋ33"	"piŋ45"	"piŋ24"	"ɓən33"	
"逼"	"曾开三入职帮"	"pɛk5"	"pik5"	"pik5"	"ɓət5"	
"力"	"曾开三入职来"	"lak2"	"lak5"	"lak2"	"lak2"	
"熄"	"曾开三入职心"	"ɬɛk5"	"sik5"	"sik5"	"ɬət5"	
"直"	"曾开三入职证"	"ʦɛk2"	"tit2"	"tiɛk2"	"ɗit2"	
"色"	"曾开三入职生"	"ɬɛk5"	"sik5"	"sik5"	"ɬət5"	
"蒸"	"曾开三平蒸章"	"ʦɛŋ33"	"ʦiŋ45"	"ʦiŋ24"	"tən33"	
"证"	"曾开三去证章"	"ʦɛŋ44"	"ʦia31"	"ʦiŋ21"	"tən44"	
"织"	"曾开三入职章"	"ʦɛk5"	"ʦik5"	"ʦik5"	"ʦit5"	
"秤～杆"	"曾开三去证昌"	"hu33"	"tsʰiŋ45"	"tsʰiɛŋ21"	"sin44"	
"绳"	"曾开三平蒸船"	"ɬɔ53"	"so451"	"so453"	"ɬɔ453"	
"食"	"曾开三入职船"	"ʦia42"	"ʦia443"	"ʦia33"	"ʦa42"	
"识"	"曾开三入职书"	"ɬɛk5"	"sik5"	"pak5/sik5"	"ɓak5"	
"极"	"曾开三入职群"	"kɛk2"	"kik2"	"kik2"	"kik2"	
"兴～旺"	"曾开三平蒸晓"	"hɛŋ33"	"hiŋ45"	"hiŋ24"	"hən33"	
"兴高～"	"曾开三去证晓"	"hɛŋ44"	"hiŋ31"	"hiŋ21"	"hən44"	
"应～当"	"曾开一平蒸影"	"ɛŋ33"	"——"	"iŋ24"	"ən33"	
"应～对"	"曾开一去证影"	"ɛŋ44"	"iŋ45"	"iŋ21"	"ən33"	
"蝇"	"曾开一平蒸以"	"ɬɛŋ22"	"siŋ24"	"siɛŋ22"	"ɬin22"	
"国"	"曾合一入德见"	"kuak5"	"kak5"	"kuɛk5"	"kɔk5"	
"百"	"梗开二入陌帮"	"pia53"	"pe451"	"pɛ453"	"ɓɛ453"	
"伯"	"梗开二入陌帮"	"pia53"	"pe451"	"pɛ453"	"ɓɛ42"	
"彭"	"梗开二平庚并"	"paŋ22"	"pʰe24"	"pʰɛ22"	"pʰaŋ22"	
"白"	"梗开二入陌并"	"pia42"	"pe443"	"pɛ33"	"ɓɛ42"	
"猛"	"梗开二去梗明"	"maŋ31"	"ɓiŋ451"	"mɛ41/miŋ41"	"mɛ31"	
"孟"	"梗开二去映明"	"maŋ42"	"ɓaŋ24"	"mɛŋ453"	"——"	
"撑"	"梗开二平庚彻"	"tsʰaŋ33"	"tʰe45"	"tsʰaŋ24"	"tʰɛ33"	
"拆～开"	"梗开二入陌彻"	"tʰia53"	"tʰia451"	"tʰia453"	"kʰia453"	
"生"	"梗开二平庚生"	"ɬaŋ33/tsʰia33"	"se45"	"sɛ24"	"ɬɛ33/ɬaŋ33"	
"省"	"梗开二上梗生"	"ɬaŋ31"	"se451"	"sɛŋ41"	"ɬaŋ31"	
"格"	"梗开二入陌见"	"kia53"	"ke451"	"kɛ453"	"kɛ453"	
"坑"	"梗开二平庚溪"	"kʰaŋ33"	"kʰoŋ31"	"kʰaŋ24"	"kʰɛ33/kʰaŋ33"	
"客"	"梗开二入陌溪"	"kʰia53"	"kʰe451"	"kʰɛ453"	"kʰɛ453"	
"硬"	"梗开二去映疑"	"ŋia44"	"ŋe443"	"ŋɛ33"	"ŋɛ42"	
"额"	"梗开二入陌疑"	"ŋak2"	"ŋak2"	"hia24/ŋɛ33"	"hia42"	
"吓"	"梗开二入陌晓"	"hia44"	"he451"	"hɛ453"	"hɛ453"	
"行～走"	"梗开二平庚匣"	"kia22"	"kia24"	"kia22"	"kia22"	
"棚"	"梗开二平耕并"	"pʰaŋ22"	"pe24"	"pʰɛ22"	"pʰaŋ22"	
"麦"	"梗开二入麦明"	"wia42"	"ɓe443"	"ɓɛ33"	"ɓɛ42/mət2"	
"脉"	"梗开二入麦明"	"wia42"	"ɓe443"	"ɓɛ33"	"ɓɛ42"	
"摘"	"梗开二入麦知"	"tɛŋ53"	"kʰyo451"	"mo453"	"kʰiɔ453"	
"争"	"梗开二平耕庄"	"ʦaŋ33"	"ʦe45"	"ʦiŋ24"	"ʦɛ33"	
"隔"	"梗开二入麦见"	"kia53"	"ke451"	"kɛ453"	"kɛ453"	
"幸"	"梗开二上耿匣"	"hɛŋ42"	"kia24"	"hiŋ41"	"hən42"	
"轭"	"耿开二入麦影"	"ia53"	"ak5"	"——"	"ŋɛ453"	
"兵"	"梗开三平庚帮"	"pia33"	"piŋ24"	"pia24"	"ɓia33"	
"柄"	"梗开三去映帮"	"pia44"	"pia31"	"pɛ21"	"ɓɛ44"	
"平"	"梗开三平庚并"	"pʰɛŋ22"	"pia24"	"pɛ22/pʰiŋ22"	"ɓɛ22"	
"病"	"梗开三去映并"	"pia33"	"pia443"	"pɛ24"	"ɓɛ42"	
"明"	"梗开三平庚明"	"mɛŋ22"	"ɓiŋ24"	"miŋ22"	"mən22"	
"命"	"梗开三去映明"	"mɛŋ42/mia33"	"ɓia443"	"mia24"	"mia33"	
"镜"	"梗开三去映见"	"kia44"	"kiŋ31"	"kia21"	"kia44"	
"迎"	"梗开三平庚疑"	"ɛŋ22"	"niŋ22"	"ŋɛŋ41/iɛŋ41"	"ŋiŋ22"	
"逆"	"梗开三入陌疑"	"ak2"	"ŋik2"	"ŋiɛk5"	"ŋɐt2"	
"影"	"梗开三上梗影"	"ɛŋ31"	"ia451"	"o41/iŋ41"	"ən31"	
"饼"	"梗开三上梗帮"	"pia31"	"pia451"	"pua41"	"pia31"	
"名"	"梗开三平清明"	"mia22"	"ɓia24"	"mia22"	"mia22"	
"领"	"梗开三上静来"	"nia31"	"nia451"	"nia41"	"nia31"	
"岭"	"梗开三上静来"	"nia31"	"nia451"	"nia41"	"nia31"	
"精"	"梗开三平清精"	"ʦɛŋ33"	"ʦiŋ45"	"ʦiŋ24"	"tən33"	
"井"	"梗开三上静精"	"ʦia31"	"ʦɛ451"	"ʦɛ41"	"ʦɛ31"	
"脊"	"梗开三入昔精"	"ʦia53"	"cia451"	"ʦik5"	"ʦa453"	
"清"	"梗开三平清清"	"tsʰɛŋ33"	"tsʰiŋ45"	"tsʰiŋ24"	"sən33"	
"请"	"梗开三上静清"	"tsʰia31"	"tsʰia451"	"tsʰia41"	"sa31"	
"情"	"梗开三平清从"	"tsʰɛŋ22"	"ʦiŋ24"	"tsʰiŋ22"	"ʦa22/siŋ22"	
"静"	"梗开三上静从"	"ʦɛŋ42"	"tsʰiŋ443"	"ʦiŋ33"	"tʰɛ453"	
"姓"	"梗开三去劲心"	"ɬia44"	"sia31"	"sɛ21"	"ɬɛ44"	
"惜"	"梗开三入昔心"	"ɬɛk5"	"sik5"	"tsʰoi453"	"ɬət5"	
"程"	"梗开三平清澄"	"tsʰɛŋ22"	"tsʰiŋ24"	"tsʰiŋ22"	"ʦa22"	
"正～月"	"梗开三平清章"	"ʦia33"	"ʦia45"	"ʦia24"	"ʦa33"	
"正～正"	"梗开三去劲章"	"ʦia44"	"cia31"	"ʦia21"	"ʦa44"	
"只一～"	"梗开三入昔章"	"ʦia53"	"ʦia451"	"ʦik5"	"kai22"	
"尺"	"梗开三入昔昌"	"tsʰiɛu53"	"ʦyo451"	"tsʰiɔ453"	"so453"	
"声"	"梗开三平清书"	"ɬia33"	"sia45"	"sia24"	"ɬia33"	
"成"	"梗开三平清禅"	"ʦia22"	"siŋ24"	"ʦia22"	"ʦa22"	
"石"	"梗开三入溪禅"	"ʦiɛu42"	"ʦyo443"	"ʦiɔ33"	"ʦo42"	
"颈"	"梗开三上静见"	"kɛŋ31"	"kiŋ45"	"kiŋ453/ti453"	"au22"	
"轻"	"梗开三平清溪"	"kʰiŋ33"	"kʰiŋ45"	"kʰiɛŋ24"	"kʰin33"	
"赢"	"梗开三平清以"	"ia22"	"ia24"	"ia22"	"ia22"	
"亦"	"梗开三入昔以"	"jiɛk2"	"jiek5"	"ik5"	"——"	
"壁"	"梗开四入锡帮"	"pia53"	"pik5"	"pia453"	"——"	
"瓶"	"梗开四平青并"	"pʰɛŋ22"	"ʦun45"	"pʰiŋ22/ʦuŋ24"	"tun33"	
"钉"	"梗开四平青端"	"tɛŋ44"	"tiŋ45"	"taŋ24"	"ɗən33"	
"滴"	"梗开四入锡端"	"tɛk5"	"tik5"	"tik5"	"ɗət5"	
"听～见"	"梗开四平青透"	"tʰia33"	"tʰia45"	"tʰia24"	"kʰia33"	
"踢"	"梗开四入锡透"	"tʰɛk5"	"tʰiak5"	"tʰak5"	"tʰət5"	
"停"	"梗开四平青定"	"tʰɛŋ22"	"tʰiŋ24"	"tiŋ22"	"tʰən22"	
"定"	"梗开四去径定"	"tɛŋ42/tia33"	"tiŋ31"	"tia24"	"ɗia33"	
"笛"	"梗开四入锡定"	"tɛk2"	"tiet2"	"tik2"	"ɬiau33"	
"敌"	"梗开四平青定"	"tɛk2"	"tik2"	"tik5"	"ɗik2"	
"灵"	"梗开四平青来"	"lɛŋ22"	"liŋ24"	"liŋ22"	"lən22"	
"历"	"梗开四入锡来"	"lɛk2"	"lik2"	"lɛ33"	"lik2"	
"青"	"梗开四平青清"	"tsʰia33"	"tsʰe45"	"tsʰɛ24/tsʰiŋ24"	"sɛ33"	
"星"	"梗开四平青心"	"ɬɛŋ33"	"tsʰe45"	"tsʰɛ24"	"ɬən33"	
"醒"	"梗开四上迥心"	"tsʰia31"	"tsʰɛ451"	"tsʰɛ41"	"sɛ31"	
"锡"	"梗开四入锡心"	"ɬia53"	"sia451"	"sia453"	"ɬia453"	
"经"	"梗开四平青见"	"kɛŋ33"	"kiŋ45"	"kiŋ24"	"kən33"	
"形"	"梗开四平青匣"	"hɛŋ22"	"iŋ24"	"hiŋ22"	"jiən22"	
"矿"	"梗合二上梗见"	"kʰuaŋ44"	"kʰoŋ31"	"kuaŋ21"	"kʰɔŋ44"	
"横～直"	"梗合二平庚匣"	"huai22"	"hye24"	"huɛ22"	"fɛ22"	
"轰"	"梗合二平耕晓"	"hoŋ33"	"kuaŋ45"	"hoŋ24"	"——"	
"兄"	"梗合三平庚晓"	"hia33"	"hia45"	"hia24"	"hia33"	
"荣"	"梗合三平庚云"	"jioŋ22"	"wiŋ24"	"jioŋ22"	"wiŋ22"	
"永"	"梗合三上梗云"	"ɛŋ31"	"wiŋ451"	"jioŋ41"	"wiŋ31"	
"倾"	"梗合三平清溪"	"kʰɛŋ33"	"kʰiŋ45"	"kʰiŋ453"	"kʰuɛn31"	
"琼"	"梗合三平清群"	"kʰɛŋ22"	"kʰiŋ24"	"kʰoiŋ22"	"kʰiŋ22"	
"营"	"梗合三平清以"	"jiɛŋ22"	"ia24"	"ia22"	"ia22"	
"役"	"梗合三入昔以"	"jiɛk2"	"——"	"ik5"	"——"	
"蓬"	"通合一平东并"	"pʰaŋ22"	"pʰoŋ24"	"hoŋ22"	"pʰaŋ22"	
"蒙"	"通合一平东明"	"moŋ22"	"ɓoŋ451"	"moŋ22"	"moŋ22"	
"木"	"通合一入屋明"	"mok2"	"ɓok2"	"mok5"	"sa22"	
"东"	"通合一平东端"	"taŋ33"	"tɐŋ45"	"taŋ24/toŋ24"	"ɗaŋ33"	
"懂"	"通合一上董端"	"toŋ31"	"ɓat5"	"toŋ41"	"ɓak5"	
"冻"	"通合一去送透"	"taŋ44"	"liŋ451"	"toŋ21"		
"通"	"通合一平东透"	"tʰoŋ33"	"tʰoŋ45"	"tʰoŋ24"	"tʰoŋ33"	
"桶"	"通合一上董透"	"tʰaŋ31"	"tʰaŋ451"	"tʰaŋ41"	"tʰən31"	
"痛"	"通合一去送透"	"tʰia44"	"tʰia31"	"tʰia21"	"kʰia44"	
"铜"	"通合一平东定"	"taŋ22"	"taŋ24"	"taŋ22"	"ɗaŋ22"	
"动"	"通合一上董定"	"toŋ42"	"toŋ443"	"tʰaŋ33/toŋ33"	"ɗoŋ42"	
"洞"	"通合一去送定"	"toŋ42"	"kʰaŋ45"	"toŋ453"	"kʰaŋ33"	
"独"	"通合一入屋定"	"tak2"	"tok2"	"tok2"	"ɗok2"	
"读"	"通合一入室定"	"tʰak2"	"tʰak2"	"tʰak2"	"tʰak2"	
"笼"	"通合一平东来"	"laŋ22"	"laŋ24"	"loŋ22"	"laŋ22"	
"鹿"	"通合一入屋来"	"tiak2"	"lak2"	"tiak2"	"liak2"	
"棕"	"通合一平东精"	"ʦoŋ33"	"ʦaŋ45"	"ʦoŋ24"	"——"	
"粽"	"通合一去送精"	"ʦaŋ44"	"ʦaŋ31"	"ʦaŋ21"	"tən44"	
"葱"	"通合一平东清"	"tsʰaŋ33"	"tsʰaŋ45"	"tsʰaŋ24"	"sən33"	
"送"	"通合一去送心"	"ɬaŋ44"	"saŋ31"	"saŋ21"	"ɬaŋ33"	
"公"	"通合一平东见"	"koŋ33"	"kaŋ45"	"koŋ24"	"kaŋ33/koŋ33"	
"工"	"通合一入东见"	"kaŋ33"	"kaŋ45"	"kaŋ24"	"kaŋ33"	
"谷"	"通合一入屋见"	"kok5"	"kok5"	"tsʰiak5"	"ɬɛk5"	
"空～虚"	"通合一平东溪"	"kʰaŋ33"	"kʰaŋ45"	"kʰaŋ24/kʰoŋ24"	"kʰaŋ33"	
"孔"	"通合一上董溪"	"kʰoŋ31"	"kʰoŋ451"	"kʰoŋ41"	"kʰaŋ33"	
"贡"	"通合一去送见"	"koŋ44"	"koŋ31"	"koŋ21"	"koŋ44"	
"控"	"通合一去送溪"	"kʰoŋ33"	"hoŋ51"	"kʰoŋ21"	"hoŋ44"	
"哭"	"通合一入屋溪"	"kʰau44"	"hau451"	"kʰau21"	"kʰau44"	
"红"	"通合一平东匣"	"aŋ22"	"aŋ24"	"aŋ22"	"aŋ22/hoŋ22"	
"翁"	"通合一平东影"	"aŋ33"	"ioŋ45"	"aŋ24/oŋ24"	"aŋ33"	
"蕹"	"通合一去送影"	"iaŋ33"	"iaŋ443"	"iaŋ453"	"aŋ44"	
"屋"	"通合一入屋影"	"tsʰu44"	"tsʰu31"	"ʦu21"	"sy44"	
"冬"	"通合一平冬端"	"taŋ33"	"taŋ45"	"taŋ24"	"ɗaŋ33/ɗoŋ33"	
"毒"	"通合一入沃定"	"tak2"	"tok2"	"tok2"	"ɗak2"	
"农"	"通合一平东泥"	"noŋ22"	"naŋ24"	"noŋ22"	"naŋ22"	
"脓"	"通合一平冬泥"	"noŋ22"	"naŋ24"	"naŋ22"	"naŋ22"	
"宗"	"通合一平冬精"	"ʦoŋ33"	"ʦoŋ45"	"ʦoŋ24"	"ʦoŋ33"	
"松～紧"	"通合一平冬心"	"ɬaŋ33"	"saŋ45"	"saŋ24"	"sən33"	
"宋"	"通合一去宋心"	"ɬoŋ44"	"saŋ31"	"soŋ21"	"ɬoŋ44"	
"风"	"通合三平东非"	"huaŋ33"	"hoŋ45"	"huaŋ24"	"fɔŋ33"	
"福"	"通合三入屋非"	"hɔk5"	"hok5"	"hok5"	"fok5"	
"冯"	"通合三平冬奉"	"hoŋ22"	"hoŋ24"	"paŋ22"	"foŋ22"	
"凤"	"通合三去送奉"	"hoŋ42"	"hoŋ24"	"hoŋ453"	"foŋ42"	
"服"	"通合三入屋奉"	"hɔk2"	"hok2"	"hok2"	"fok2"	
"梦"	"通合三去送明"	"maŋ33"	"ɓoŋ443"	"maŋ24"	"maŋ33/moŋ33"	
"目"	"通合三入屋明"	"mok2/mak2"	"ɓak2"	"mak2/mok5"	"mak2/mok2"	
"六"	"通合三入屋来"	"lak2"	"lak2"	"lak2"	"lak2"	
"肃"	"通合三入屋心"	"ɬok5"	"sok5"	"sok5"	"ɬuk5"	
"中～间"	"通合三平东知"	"ʦoŋ33"	"ʦoŋ45"	"ʦoŋ24"	"toŋ33"	
"竹"	"通合三入屋知"	"tip5"	"tik5"	"tip5"	"ɗip5"	
"轴"	"通合三入屋澄"	"ʦok2"	"ʦok2"	"ʦok2"	"tuk2"	
"虫"	"通合三平东澄"	"tʰaŋ22"	"tʰaŋ24"	"tʰaŋ22"	"tʰaŋ22"	
"终"	"通合三平东章"	"ʦoŋ33"	"ʦoŋ45"	"ʦoŋ24"	"toŋ33"	
"众"	"通合三去送章"	"ʦiaŋ44"	"ʦoŋ31"	"ʦoŋ21"	"ʦən44"	
"粥"	"通合三入屋章"	"ʦok5"	"moi24"	"ʦok5"	"moi22"	
"铳"	"通合三去送昌"	"——"	"tsʰoŋ31"	"tʰoŋ21"	"soŋ44"	
"叔"	"通合三入屋书"	"ʦip5"	"ʦik5"	"ʦip5"	"ʦip5"	
"熟"	"通合三入屋禅"	"ɬiak2"	"sik2"	"siak2"	"ɬiak2"	
"绒"	"通合三平东日"	"jioŋ22"	"jioŋ24"	"jioŋ22"	"jioŋ22"	
"肉"	"通合三入屋日"	"hip2"	"ɓa451"	"hip2"	"hɛp2"	
"弓"	"通合三平东见"	"kiaŋ33"	"kaŋ45"	"kiaŋ24"	"kiaŋ33"	
"宫"	"通合三平东见"	"koŋ33"	"koŋ45"	"koŋ24"	"koŋ33"	
"菊"	"通合三入屋见"	"kɔk5"	"tsʰik5"	"kʰok5"	"kok5"	
"穷"	"通合三平东群"	"kʰoŋ22"	"kiŋ24"	"kʰioŋ22"	"kʰoŋ22"	
"畜～牧"	"通合三入屋晓"	"tsʰok5"	"tsʰok5"	"ʦok5"	"sok5"	
"熊"	"通合三平东云"	"jioŋ22"	"hoŋ24"	"hioŋ22"	"jioŋ22"	
"雄"	"通合三平东云"	"hoŋ22"	"aŋ24"	"hioŋ22"	"hoŋ22"	
"封"	"通合三平钟非"	"hoŋ33"	"hoŋ45"	"hoŋ24"	"hoŋ33"	
"蜂"	"通合三平钟敷"	"paŋ33"	"pʰaŋ45"	"pʰaŋ24"	"pʰaŋ33"	
"缝裁～"	"通合三平钟奉"	"nui22"	"hoŋ22"	"hoŋ22"	"foŋ22"	
"浓"	"通合三平钟泥"	"noŋ22"	"nioŋ24"	"noŋ22"	"noŋ22"	
"绿"	"通合三入烛来"	"liak2"	"lak2"	"liak2"	"liak2"	
"足"	"通合三入烛精"	"ʦɔk5"	"ʦok5"	"ʦok5"	"tuk5"	
"从～来"	"通合三平钟邪"	"tsʰoŋ22"	"tsʰoŋ24"	"tsʰoŋ22"	"soŋ22"	
"粟"	"通合三入烛心"	"ɬiap5"	"sok5"	"siak5"	"ɬət5"	
"松～树"	"通合三平钟邪"	"tsʰoŋ22"	"tsʰoŋ24"	"soŋ22"	"soŋ22"	
"俗"	"通合三入烛邪"	"ɬok2"	"ʦok2"	"sok2"	"tok2"	
"续"	"通合三入烛邪"	"ʦok2"	"ʦok2"	"sok2"	"tok2"	
"重～复"	"通合三上肿澄"	"hok5"	"tsʰoŋ24"	"tsʰoŋ22"	"soŋ22"	
"重轻～"	"通合三上肿澄"	"taŋ42"	"taŋ443"	"taŋ33"	"ɗaŋ42"	
"钟"	"通合三平钟章"	"ʦiaŋ33"	"ʦoŋ45"	"ʦiaŋ24"	"ʦən33"	
"肿"	"通合三上肿章"	"ʦiaŋ31"	"ʦiŋ451"	"ʦiaŋ41"	"ʦən31"	
"烛"	"通合三入烛章"	"ʦiak5"	"ʦik5"	"ʦiak5"	"ʦət5"	
"冲"	"通合三平钟昌"	"tsʰoŋ33"	"tsʰoŋ45"	"tsʰioŋ24"	"soŋ33"	
"舂"	"通合三平钟书"	"ʦiaŋ33"	"ʦiŋ45"	"ʦiaŋ24"	"ʦən33"	
"辱"	"通合三入烛日"	"jiok31"	"iok2"	"iok2"	"——"	
"供～应"	"通合三平钟见"	"koŋ33"	"koŋ45"	"koŋ21"	"koŋ33"	
"拱"	"通合三上肿见"	"koŋ31"	"koŋ451"	"koŋ21"	"——"	
"恐"	"通合三有肿溪"	"kʰoŋ31"	"hoŋ451"	"kʰoŋ21"	"——"	
"曲"	"通合三入烛溪"	"kʰiak5"	"kʰok5"	"kʰiak5"	"kʰok5"	
"共"	"通合三去用群"	"koŋ42"	"koŋ31"	"koŋ33"	"kaŋ42"	
"局"	"通合三入烛群"	"kok2"	"kok2"	"kʰok5"	"kuk2"	
"玉"	"通合三入烛疑"	"ŋok2"	"ɓa451"	"jiak2/jiok5"	"ȵok2"	
"胸"	"通合三平钟晓"	"hiaŋ33"	"hoŋ45"	"hiaŋ24"	"hiaŋ33"	
"凶"	"通合三平钟晓"	"ok5"	"hoŋ45"	"hioŋ24"	"——"	
"容"	"通合三平钟以"	"jioŋ22"	"ioŋ31"	"jioŋ22"	"jioŋ22"	
"用"	"通合三去用以"	"jioŋ42"	"ioŋ443"	"jioŋ33"	"jioŋ42"	
"欲"	"通合三入烛以"	"jiok2"	"iok2"	"jiok2"	"jiok2"	
